A/R Aging Summary Report,,,,,,
Bandwear.com Inc.,,,,,,
"As of February 6, 2026",,,,,,

Customer,CURRENT,1 - 30,31 - 60,61 - 90,91 AND OVER,Total
7 Pepper Gunns,,559.71,,,,559.71
7 Pepper Gunns LLC,671.52,,,,"-1,476.97",-805.45
Andy Timmons,399.18,,,,,399.18
Bandcamp - 800 Pound Gorilla Records,19.05,,,,,19.05
Bandcamp - Chrystabell,349.74,,,,,349.74
Baseline/Wilspro,,,,,,
Marc Broussard,,,"1,739.53",,,"1,739.53"
Total for Baseline/Wilspro,,,"1,739.53",,,"$1,739.53"
Ben Barnes,,,,,345.73,345.73
Billy Gilman,,,26.74,,,26.74
Blue October (Scoop),,,"10,637.42",,,"10,637.42"
Bowling For Soup,,,972.21,,,972.21
Crystal Clear (Customer),47.50,,,,,47.50
Culture Collective Records,,,149.82,,,149.82
Erykah Badu,,412.10,,,,412.10
Flickerstick,,"4,279.57",,,,"4,279.57"
Ghost-Note,,,123.93,,,123.93
Goldstar Recordings,,,,,574.52,574.52
Gunner Black Co.,143.11,,,,,143.11
HAWK,,,73.81,,,73.81
Jim Cocke,36.03,,,,,36.03
Merchbar,,,,,"47,024.09","47,024.09"
Mixto Records,353.74,,,,,353.74
Nep,"2,561.73",,,,,"2,561.73"
Nothing More,"4,526.19",,,,,"4,526.19"
Robert De Leo,,,166.88,,,166.88
Shopify - 800 Pound Gorilla,,"7,255.54",,,,"7,255.54"
Shopify - Changeland,33.23,,,,,33.23
Shopify - Engelbert Humperdinck,43.00,81.54,,,,124.54
Shopify - Gentle Giant,481.07,,,,,481.07
Shopify - Heavy Metal Magazine,"30,986.38","28,332.15",,,,"59,318.53"
Shopify - Mad About It,238.71,,,,,238.71
Shopify - Mela Lee,27.10,,,,,27.10
Shopify - Monique Billings,4.30,,,,,4.30
Shopify - PRN Alumni Foundation,55.30,27.65,,62.65,62.65,208.25
Shopify - Spottie WiFi,,,,233.55,,233.55
Shopify - TNT Recordings,140.50,,,,,140.50
Shopify - Tower Records,164.38,,,,,164.38
The Full Moon Band,,,33.24,,,33.24
The Luka State,,,"1,099.41",,"1,064.41","2,163.82"
The Orion Experience,34.19,159.80,,,,193.99
They Might Be Giants,,,"3,819.95",,,"3,819.95"
Tyrone Wells,,,92.98,,,92.98
Yasiin Bey,159.05,,,,,159.05
TOTAL,"41,475.00","41,108.06","18,935.92",296.20,"47,594.43","$149,409.61"



" Friday, February 06, 2026 08:47 AM GMT-06:00",,,,,,
