Expenses by Vendor Summary,
Bandwear.com Inc.,
"January-December, 2026",

Vendor,Total
,"6,487.88"
8x8 8x8,676.20
Acadian Candle Company,592.30
Adobe Systems,75.76
Aftership,109.00
Amazon Web Services,26.20
"AMDA Commercial Cleaning Services, Inc.",324.75
AmTrust,415.00
Ascend Staffing,"13,776.44"
AS Colour Inc,"2,962.60"
Atlassian,10.66
Atmos Energy,423.72
Authorize.net,66.50
BBVA Bank,22.00
Best Promotions USA,242.41
Blue Cross Blue Shield,"11,878.11"
Central Courier Corp,131.10
City of Carrollton,60.82
Cobb Midway LLC,"35,423.07"
Codecourse,12.00
Cori Jade,180.00
Culligan,76.15
"Custom Printing II, Ltd",333.29
DHL eCommerce,"6,769.04"
DHL Express USA,731.21
Digital Ocean,"1,181.88"
Direct Caps Co Ltd,308.80
EFile Magic,356.10
"EMT, INC","1,265.38"
Evernote,"-1,844.19"
FedEx,78.75
Forge Laravel,51.00
Image Imprinting,"11,969.12"
Industry PrintShop,"2,941.25"
Instacart,140.44
Jersey Mike's,145.93
Klaviyo,"1,268.54"
Liberty Mutual,"1,850.11"
Mailgun,74.64
Monday.com,89.38
Morris Magnets,372.30
MyFonts,51.96
Northwest Propane,65.00
Norway Consultants Inc,"5,083.00"
"Otto Cap, INC",691.90
Paddle.net,5.28
Pitney Bowes Postage,"24,000.00"
PNC Bank,22.00
Printful,549.98
Progressive Waste,780.70
QuickBooks Payments,"1,533.74"
Racetrack,56.02
Relay,52.00
SanMar,"1,430.29"
"Shenzhen Jinhao Color  Printing Co., Ltd","31,850.00"
Shipwise,696.35
Shopify,"3,211.00"
Simple Backups,29.00
Small Business Administration,256.09
"SNP Consulting & Development, Inc.","25,500.00"
Spectrum Business Cable,220.95
S&S Activewear,"29,689.76"
"Staton Wholesale, LLC",540.00
Stericycle Shred,128.45
Strand Art Co,280.19
Text Inc,49.00
TForce Freight,183.06
Trademarks Promotional Products,926.89
TXU,469.32
UGTHREADS 1PPROMO,550.00
Uline,"2,050.15"
United Healthcare,425.64
United Printables,"1,311.85"
UPrinting.com,"6,408.05"
UPS,"5,518.43"
Vail Donuts,45.07
Wall Of Fame,"2,607.19"
Water Utility Carrollton,2.13
Willis Exterminating,135.31
"Zendesk, INC",319.80
TOTAL,"$249,781.19"



"Accrual Basis Friday, February 06, 2026 12:06 AM GMT-06:00",
